Overall Rank,Overall Score,Size (acres),Town,Rightmove url,Price,Size (sq ft),£ per 1000 Sq Ft,Price Score,Price Rank,Competition Total,Competition Score,Competition Rank,Population Total,Population Score,Population Rank,Income Average,Income Score,Income Rank,Traffic Total,Traffic Score,Traffic Rank
1,71.80,0.00,TW20 9PJ,https://www.rightmove.co.uk/properties/154302413,"£1,150,000",Ask agent,0.00,20.00,1,52,17.35,882,976264,4.93,133,20353.85,10.46,195,156693,19.06,2
2,68.90,0.00,B93 0JU,https://www.rightmove.co.uk/properties/159937205,"£1,000,000",Ask agent,0.00,20.00,1,26,18.67,733,1385370,6.99,93,18500.00,9.51,346,112847,13.73,4
3,68.68,0.40,WA4 1JY,https://www.rightmove.co.uk/properties/125078825,"£1,000,000","17,424 sq ft",57392.10,19.49,840,35,18.21,816,381615,1.93,342,17600.00,9.05,420,164405,20.00,1
4,67.51,9.10,CM1 2QF,https://www.rightmove.co.uk/properties/156624929,POA,"396,396 sq ft",0.00,20.00,1,29,18.52,761,520213,2.63,254,19650.00,10.10,257,133651,16.26,3
5,63.40,2.83,BS1 2NN,https://www.rightmove.co.uk/properties/149433740,"£1,300,000","123,057 sq ft",10564.21,19.91,750,42,17.86,849,722000,3.64,176,20560.00,10.57,177,93910,11.42,6
6,63.27,0.20,"1st Floor 
75-77
Colmore Row
Birmingham
B3 2AP",https://www.rightmove.co.uk/properties/158707679,"£1,195,000","8,503 sq ft",140538.63,18.74,889,76,16.12,917,1670905,8.43,73,26250.00,13.50,12,53255,6.48,17
7,61.84,227.00,PE9 2JL,https://www.rightmove.co.uk/properties/155525507,"£3,900,000","9,888,120 sq ft",394.41,20.00,662,6,19.69,211,296895,1.50,395,38900.00,20.00,1,5325,0.65,465
8,61.83,0.00,"14-16
Bromham Road
Bedford
MK40 2QA",https://www.rightmove.co.uk/properties/130296224,"£7,000,000",Ask agent,0.00,20.00,1,79,15.97,921,2080265,10.50,53,26250.00,13.50,12,15325,1.86,186
9,60.97,0.00,DY1 1PB,https://www.rightmove.co.uk/properties/135512849,"£2,000,000",Ask agent,0.00,20.00,1,86,15.61,930,2216590,11.19,43,26250.00,13.50,12,5582,0.68,458
10,60.63,0.00,B93 0JU,https://www.rightmove.co.uk/properties/157943138,"£1,750,000",Ask agent,0.00,20.00,1,15,19.23,531,1635815,8.26,74,23600.00,12.13,38,8285,1.01,350
11,59.65,3.18,"The Mint 
95 Icknield Street
Hockley
Birmingham
B18 6RU",https://www.rightmove.co.uk/properties/158679728,"£1,150,000","138,521 sq ft",8301.99,19.93,735,22,18.88,688,1285235,6.49,99,21350.00,10.98,127,27834,3.39,74
12,59.22,0.00,SS1 1BD,https://www.rightmove.co.uk/properties/158294165,"£1,200,000",Ask agent,0.00,20.00,1,37,18.11,831,551495,2.78,238,17650.00,9.07,415,76019,9.25,10
13,58.71,0.00,B15 3SH,https://www.rightmove.co.uk/properties/160033937,"£1,795,000",Ask agent,0.00,20.00,1,82,15.82,924,1689905,8.53,69,26250.00,13.50,12,7153,0.87,393
14,58.18,0.00,"185-187 High Street
Harborne
Birmingham
B17 9QG",https://www.rightmove.co.uk/properties/162461231,"£2,500,000",Ask agent,0.00,20.00,1,77,16.07,918,1687860,8.52,70,26250.00,13.50,12,764,0.09,770
15,58.05,0.00,W1U 8AN,https://www.rightmove.co.uk/properties/150350780,"£3,500,000",Ask agent,0.00,20.00,1,21,18.93,664,400815,2.02,331,25075.00,12.89,23,34580,4.21,42
16,58.02,0.00,CM14 4DB,https://www.rightmove.co.uk/properties/157418843,"£1,150,000",Ask agent,0.00,20.00,1,33,18.32,800,431405,2.18,319,20500.00,10.54,185,57442,6.99,14
17,57.93,26.70,LE65 1AN,https://www.rightmove.co.uk/properties/159141197,"£1,500,000","1,163,052 sq ft",1289.71,19.99,686,5,19.74,177,191660,0.97,495,19600.00,10.08,265,58760,7.15,13
18,57.80,0.00,TQ7 1BG,https://www.rightmove.co.uk/properties/147016628,"£10,850,000",Ask agent,0.00,20.00,1,21,18.93,664,208695,1.05,473,15766.67,8.11,573,79854,9.71,7
19,57.74,0.00,CB1 7EA,https://www.rightmove.co.uk/properties/151533824,"£1,500,000",Ask agent,0.00,20.00,1,19,19.03,622,229095,1.16,454,27800.00,14.29,6,26840,3.27,80
20,57.55,1.00,W1U 1NH,https://www.rightmove.co.uk/properties/161118905,"£1,000,000","43,560-65,340 sq ft",22956.84,19.79,797,11,19.44,403,100830,0.51,638,29300.00,15.06,3,22585,2.75,107
21,57.49,0.00,PR1 3NA,https://www.rightmove.co.uk/properties/155820626,"£1,200,000",Ask agent,0.00,20.00,1,36,18.16,824,478020,2.41,287,16900.00,8.69,501,67636,8.23,11
22,57.49,1.85,CM2 5LB,https://www.rightmove.co.uk/properties/146123510,"£1,500,000","80,586 sq ft",18613.65,19.83,785,8,19.59,273,90255,0.46,670,21525.00,11.07,120,53744,6.54,16
23,57.40,0.00,"32-34 Baker Street
Weybridge
Surrey
KT13 8AU",https://www.rightmove.co.uk/properties/160134797,"£1,600,000",Ask agent,0.00,20.00,1,116,14.08,951,1482058,7.48,84,20747.83,10.67,162,42474,5.17,24
24,57.25,1.28,"Peat House
1 Waterloo Way
Leicester
LE1 6LP",https://www.rightmove.co.uk/properties/131129720,"£1,100,000","55,757 sq ft",19728.46,19.82,787,33,18.32,800,609830,3.08,211,23366.67,12.01,43,33063,4.02,48
25,57.21,0.28,E15 4QZ,https://www.rightmove.co.uk/properties/151663916,"£2,700,000","12,163 sq ft",221984.71,18.02,922,23,18.83,703,218620,1.10,465,22160.00,11.39,89,64732,7.87,12
26,57.18,0.00,GL7 2BL,https://www.rightmove.co.uk/properties/157608926,"£1,200,000",Ask agent,0.00,20.00,1,57,17.09,890,830850,4.19,153,20740.00,10.66,163,43049,5.24,22
27,57.10,7.78,NR3 1AB,https://www.rightmove.co.uk/properties/119505914,POA,"338,897 sq ft",0.00,20.00,1,6,19.69,211,51265,0.26,784,33266.67,17.10,2,322,0.04,869
28,56.97,0.48,LS1 4AP,https://www.rightmove.co.uk/properties/135107393,POA,"20,909 sq ft",0.00,20.00,1,40,17.96,843,905180,4.57,142,19537.50,10.04,272,36137,4.40,40
29,56.93,9.24,IP33 1RH,https://www.rightmove.co.uk/properties/156691385,"£1,600,000","402,494 sq ft",3975.21,19.96,706,8,19.59,273,37860,0.19,828,25450.00,13.08,21,33666,4.10,45
30,56.92,0.00,SW19 2JF,https://www.rightmove.co.uk/properties/160015265,"£1,000,000",Ask agent,0.00,20.00,1,103,14.74,943,1885814,9.52,62,15843.75,8.15,569,37070,4.51,37
31,56.80,0.14,TW5 9AW,https://www.rightmove.co.uk/properties/145958246,"£1,200,000","6,017 sq ft",199434.93,18.22,914,95,15.15,938,1554585,7.85,80,19777.78,10.17,250,44533,5.42,21
32,56.69,0.00,TW8 0AT,https://www.rightmove.co.uk/properties/127123199,"£2,750,000",Ask agent,0.00,20.00,1,132,13.27,954,2111518,10.66,51,19496.00,10.02,277,22595,2.75,106
33,56.65,0.00,SL5 0DH,https://www.rightmove.co.uk/properties/157270949,"£1,350,000",Ask agent,0.00,20.00,1,26,18.67,733,639185,3.23,203,22525.00,11.58,64,26022,3.17,84
34,56.62,3.18,"4
Brindley Place
Birmingham
B1 2LG",https://www.rightmove.co.uk/properties/161080982,"£1,150,000","138,521 sq ft",8301.99,19.93,735,22,18.88,688,1286230,6.49,97,21350.00,10.98,127,2871,0.35,573
35,56.58,356.26,"Highfield Court
Highfield Road
Oakley
Bedford
MK43 7TA",https://www.rightmove.co.uk/properties/162039161,"£4,000,000","15,518,686 sq ft",257.75,20.00,625,8,19.59,273,483855,2.44,280,27350.00,14.06,7,4003,0.49,521
36,56.37,28.07,LN6 3LH,https://www.rightmove.co.uk/properties/158461247,POA,"1,222,779 sq ft",0.00,20.00,1,21,18.93,664,657695,3.32,200,24200.00,12.44,30,13775,1.68,218
37,56.30,0.00,Broadway Southall,https://www.rightmove.co.uk/properties/143773079,"£1,800,000",Ask agent,0.00,20.00,1,96,15.10,940,1562275,7.88,79,19664.71,10.11,256,26373,3.21,83
38,56.30,0.00,SW19 2JF,https://www.rightmove.co.uk/properties/151993805,"£1,800,000",Ask agent,0.00,20.00,1,181,10.77,958,2829824,14.28,26,18950.00,9.74,321,12444,1.51,250
39,56.30,0.00,GU1 3JF,https://www.rightmove.co.uk/properties/159676277,POA,Ask agent,0.00,20.00,1,10,19.49,363,233080,1.18,450,21700.00,11.16,111,36789,4.48,38
40,56.27,0.00,W4 1PD,https://www.rightmove.co.uk/properties/159081563,"£2,200,000",Ask agent,0.00,20.00,1,186,10.51,962,1992717,10.06,58,20500.00,10.54,185,42467,5.17,25
41,56.19,0.00,SW19 2JF,https://www.rightmove.co.uk/properties/159529472,"£1,250,000",Ask agent,0.00,20.00,1,184,10.61,961,2834344,14.30,25,18172.00,9.34,375,15890,1.93,170
42,56.01,1695.00,L3 9HF,https://www.rightmove.co.uk/properties/160097444,POA,"73,834,200 sq ft",0.00,20.00,1,49,17.50,870,1153210,5.82,110,17383.33,8.94,445,30829,3.75,62
43,55.92,5.15,"2 Grove Court
Grove Park
Leicester
LE19 1SA",https://www.rightmove.co.uk/properties/150564119,POA,"224,334 sq ft",0.00,20.00,1,29,18.52,761,581055,2.93,222,24100.00,12.39,32,17077,2.08,151
44,55.86,3.80,HU1 1XE,https://www.rightmove.co.uk/properties/158344490,"£1,400,000","165,528 sq ft",8457.78,19.92,737,30,18.47,772,362865,1.83,353,17525.00,9.01,436,54437,6.62,15
45,55.85,3.67,L3 9RY,https://www.rightmove.co.uk/properties/142533407,POA,"160,000 sq ft",0.00,20.00,1,25,18.72,726,1221475,6.16,105,15300.00,7.87,613,25437,3.09,86
46,55.81,1.05,"CEME
Marsh Way
Rainham",https://www.rightmove.co.uk/properties/147434516,"£2,000,000","45,738 sq ft",43727.32,19.61,830,42,17.86,849,769615,3.88,161,18216.67,9.37,370,41860,5.09,28
47,55.78,0.00,SW19 2JF,https://www.rightmove.co.uk/properties/160053632,"£1,250,000",Ask agent,0.00,20.00,1,192,10.20,964,2724249,13.75,30,18172.00,9.34,375,20402,2.48,119
48,55.62,347.00,LE11 5RF,https://www.rightmove.co.uk/properties/159320780,"£4,500,000","15,115,320 sq ft",297.71,20.00,643,30,18.47,772,579660,2.93,223,17600.00,9.05,420,42595,5.18,23
49,55.53,0.00,SW19 2JF,https://www.rightmove.co.uk/properties/157354142,"£1,000,000",Ask agent,0.00,20.00,1,109,14.44,947,2209819,11.15,44,15843.75,8.15,569,14779,1.80,200
50,55.51,112.55,SW3 2PR,https://www.rightmove.co.uk/properties/161835638,"£1,400,000","4,902,678 sq ft",285.56,20.00,641,5,19.74,177,87660,0.44,677,20333.33,10.45,196,40064,4.87,29
51,55.51,264.14,SW3 2PR,https://www.rightmove.co.uk/properties/161833004,"£3,100,000","11,505,938 sq ft",269.43,20.00,632,5,19.74,177,86745,0.44,680,20333.33,10.45,196,40064,4.87,29
52,55.51,765.24,SW3 2PR,https://www.rightmove.co.uk/properties/161401148,"£8,500,000","33,333,854 sq ft",255.00,20.00,624,5,19.74,177,86345,0.44,683,20333.33,10.45,196,40064,4.87,29
53,55.50,0.74,"Bath 
BA1 5BD",https://www.rightmove.co.uk/properties/161418242,POA,"32,371 sq ft",0.00,20.00,1,21,18.93,664,447920,2.26,309,23260.00,11.96,49,19322,2.35,128
54,55.46,388.55,SW3 2PR,https://www.rightmove.co.uk/properties/161830160,"£4,000,000","16,925,238 sq ft",236.33,20.00,616,6,19.69,211,87725,0.44,676,20333.33,10.45,196,40064,4.87,29
55,55.42,0.00,"41 High Street
Chislehurst
BR7 5AE",https://www.rightmove.co.uk/properties/156874202,"£2,400,000",Ask agent,0.00,20.00,1,59,16.99,899,1266916,6.39,102,19678.57,10.12,255,15795,1.92,177
56,55.39,0.00,EN6 2HW,https://www.rightmove.co.uk/properties/161030984,"£1,500,000",Ask agent,0.00,20.00,1,24,18.78,718,1083760,5.47,119,18928.57,9.73,322,11610,1.41,271
57,55.39,0.14,W1G 0JD,https://www.rightmove.co.uk/properties/158150183,"£4,500,000","6,006 sq ft",749250.75,13.30,985,353,1.99,992,3154491,15.92,18,22783.33,11.71,59,102446,12.46,5
58,55.39,0.00,GL50 3PE,https://www.rightmove.co.uk/properties/161446043,"£1,400,000",Ask agent,0.00,20.00,1,23,18.83,703,306100,1.54,387,23400.00,12.03,40,24524,2.98,94
59,55.37,1.05,NW8 9TT,https://www.rightmove.co.uk/properties/141224813,"£4,000,000","45,616 sq ft",87688.53,19.22,867,41,17.91,847,737340,3.72,167,19300.00,9.92,293,37863,4.61,36
60,55.31,0.14,M2,https://www.rightmove.co.uk/properties/157247900,"£1,300,000","6,083 sq ft",213710.34,18.09,918,18,19.08,606,1286060,6.49,98,21350.00,10.98,127,5508,0.67,460
61,55.14,3.35,SL9 8PE,https://www.rightmove.co.uk/properties/153644006,"£2,000,000","146,120 sq ft",13687.38,19.88,769,9,19.54,315,317585,1.60,381,25750.00,13.24,18,7268,0.88,390
62,55.14,2.72,"Blackburn road
Sheffield
S61 2DW",https://www.rightmove.co.uk/properties/155981630,"£1,100,000","118,483 sq ft",9284.03,19.92,744,42,17.86,849,795980,4.02,157,19475.00,10.01,279,27393,3.33,79
63,55.08,0.00,"Parkway
London
NW1 7AH",https://www.rightmove.co.uk/properties/162200825,POA,Ask agent,0.00,20.00,1,15,19.23,531,780016,3.94,160,20050.00,10.31,225,13160,1.60,231
64,55.08,3.67,ME14 3EN,https://www.rightmove.co.uk/properties/157766687,"£2,000,000","159,865 sq ft",12510.56,19.89,762,8,19.59,273,96225,0.49,648,29300.00,15.06,3,392,0.05,852
65,55.07,0.00,NG9 6RZ,https://www.rightmove.co.uk/properties/162739895,"£1,200,000",Ask agent,0.00,20.00,1,20,18.98,641,876685,4.42,147,19620.00,10.09,263,12971,1.58,237
66,55.00,722.93,SW3 2PR,https://www.rightmove.co.uk/properties/161852555,"£6,000,000","31,490,831 sq ft",190.53,20.00,586,10,19.49,363,383805,1.94,338,22500.00,11.57,65,16474,2.00,159
67,55.00,1278.00,SW3 2PR,https://www.rightmove.co.uk/properties/161403437,"£12,000,000","55,669,680 sq ft",215.56,20.00,599,10,19.49,363,383805,1.94,338,22500.00,11.57,65,16474,2.00,159
68,55.00,260.03,SW3 2PR,https://www.rightmove.co.uk/properties/161853548,"£3,150,000","11,326,907 sq ft",278.10,20.00,638,10,19.49,363,383805,1.94,338,22500.00,11.57,65,16474,2.00,159
69,54.94,0.00,OX2 7LL,https://www.rightmove.co.uk/properties/159635762,"£1,650,000",Ask agent,0.00,20.00,1,4,19.80,140,16930,0.09,898,22300.00,11.47,83,29511,3.59,65
70,54.92,1.98,NE28 9NY,https://www.rightmove.co.uk/properties/160998071,"£1,600,000","86,249 sq ft",18550.94,19.83,784,10,19.49,363,98405,0.50,645,29300.00,15.06,3,292,0.04,875
71,54.87,0.00,"Meridian House
Wheatfield Way
Hinckley
LE10 1YG",https://www.rightmove.co.uk/properties/159793715,"£2,200,000",Ask agent,0.00,20.00,1,34,18.27,810,422930,2.13,322,22630.00,11.63,63,23267,2.83,101
72,54.85,0.00,SW19 2JF,https://www.rightmove.co.uk/properties/151380566,"£1,500,000",Ask agent,0.00,20.00,1,197,9.95,967,2524835,12.74,35,20018.52,10.29,230,15361,1.87,184
73,54.84,11.30,ME14 5BJ,https://www.rightmove.co.uk/properties/155340599,POA,"492,228 sq ft",0.00,20.00,1,18,19.08,606,273100,1.38,415,25450.00,13.08,21,10643,1.29,286
74,54.84,0.00,SL8 5SA,https://www.rightmove.co.uk/properties/162293690,"£2,000,000",Ask agent,0.00,20.00,1,22,18.88,688,476675,2.41,289,22820.00,11.73,57,14979,1.82,193
75,54.79,0.00,WD7 7NP,https://www.rightmove.co.uk/properties/159199277,"£3,900,000",Ask agent,0.00,20.00,1,42,17.86,849,922126,4.65,138,20650.00,10.62,168,13649,1.66,221
75,54.79,0.00,EN5 5SZ,https://www.rightmove.co.uk/properties/159271415,"£3,900,000",Ask agent,0.00,20.00,1,42,17.86,849,922126,4.65,138,20650.00,10.62,168,13649,1.66,221
77,54.77,0.00,LU1 2AT,https://www.rightmove.co.uk/properties/162467741,"£3,500,000",Ask agent,0.00,20.00,1,10,19.49,363,191835,0.97,494,21300.00,10.95,130,27641,3.36,78
78,54.69,0.00,London,https://www.rightmove.co.uk/properties/162107633,POA,Ask agent,0.00,20.00,1,182,10.71,959,2591924,13.08,33,19288.89,9.92,297,8049,0.98,359
79,54.65,0.00,SW19 2JF,https://www.rightmove.co.uk/properties/150183608,"£1,150,000",Ask agent,0.00,20.00,1,102,14.80,942,1394536,7.04,91,20718.18,10.65,164,17790,2.16,145
80,54.48,30.00,"32
Bridge Street
Hitchin
SG5 2DF",https://www.rightmove.co.uk/properties/162385496,"£2,650,000","1,306,800 sq ft",2027.85,19.98,693,4,19.80,140,216340,1.09,466,20533.33,10.56,181,25133,3.06,90
81,54.47,2.85,B3 2RT,https://www.rightmove.co.uk/properties/144428861,POA,"124,146 sq ft",0.00,20.00,1,14,19.29,492,279325,1.41,411,26700.00,13.73,9,373,0.05,854
82,54.38,0.00,"49 Lower Addiscombe Road
Croydon
CR0 6PQ",https://www.rightmove.co.uk/properties/129069251,"£2,900,000",Ask agent,0.00,20.00,1,91,15.36,935,2111522,10.66,50,14828.57,7.62,643,6084,0.74,432
83,54.37,0.00,"Middlesex
HA5 4HP",https://www.rightmove.co.uk/properties/157861922,POA,Ask agent,0.00,20.00,1,91,15.36,935,1525099,7.70,82,18277.78,9.40,364,15798,1.92,176
84,54.33,0.76,W1G 0JD,https://www.rightmove.co.uk/properties/153563633,"£2,500,000","33,106 sq ft",75515.01,19.33,859,90,15.41,934,1525099,7.70,82,18277.78,9.40,364,20605,2.51,118
85,54.30,0.00,"357 
Eastern Avenue
Ilford
IG2 6NE",https://www.rightmove.co.uk/properties/162119180,"£2,500,000",Ask agent,0.00,20.00,1,194,10.10,966,2908199,14.68,23,16040.74,8.25,561,10441,1.27,296
86,54.29,0.00,GL7 2BL,https://www.rightmove.co.uk/properties/158164766,"£1,400,000",Ask agent,0.00,20.00,1,48,17.55,866,657335,3.32,201,25566.67,13.14,20,2288,0.28,616
87,54.25,0.00,UB2 5HN,https://www.rightmove.co.uk/properties/160989092,"£3,150,000",Ask agent,0.00,20.00,1,108,14.49,945,1526982,7.71,81,20400.00,10.49,193,12837,1.56,242
88,54.22,0.00,CB1 2GA,https://www.rightmove.co.uk/properties/151620995,"£1,125,000",Ask agent,0.00,20.00,1,9,19.54,315,79800,0.40,707,16766.67,8.62,515,46496,5.66,19
89,54.16,0.00,PO5 2DS,https://www.rightmove.co.uk/properties/152499233,"£1,000,000",Ask agent,0.00,20.00,1,27,18.62,747,487605,2.46,277,23300.00,11.98,48,9062,1.10,330
90,54.10,2.07,W1G 0JD,https://www.rightmove.co.uk/properties/160272221,POA,"90,169 sq ft",0.00,20.00,1,65,16.68,906,1247063,6.29,104,21052.63,10.82,138,2474,0.30,596
91,54.07,0.00,LE65 1AN,https://www.rightmove.co.uk/properties/155029340,"£1,350,000",Ask agent,0.00,20.00,1,13,19.34,457,271525,1.37,416,25700.00,13.21,19,1198,0.15,707
92,54.06,1.50,EN5 5SZ,https://www.rightmove.co.uk/properties/158019800,"£3,650,000","65,340 sq ft",55861.65,19.50,839,105,14.64,944,1904866,9.61,61,18150.00,9.33,378,7987,0.97,361
93,54.03,0.00,BS31 1FS,https://www.rightmove.co.uk/properties/159283238,"£1,000,000",Ask agent,0.00,20.00,1,42,17.86,849,732190,3.69,171,22500.00,11.57,65,7498,0.91,383
94,53.97,0.94,MK16 8AB,https://www.rightmove.co.uk/properties/160211741,"£1,000,000","40,946 sq ft",24422.41,19.78,800,20,18.98,641,287935,1.45,401,26675.00,13.71,10,300,0.04,874
95,53.94,0.00,London,https://www.rightmove.co.uk/properties/162577265,"£1,500,000",Ask agent,0.00,20.00,1,366,1.33,996,3963150,20.00,1,18622.86,9.57,341,24990,3.04,92
96,53.94,1.20,LE2 5BF,https://www.rightmove.co.uk/properties/162206771,"£1,100,000","52,272 sq ft",21043.77,19.81,794,31,18.42,785,590980,2.98,219,23366.67,12.01,43,5854,0.71,446
97,53.92,0.00,"11 
Church Street
Rickmansworth
WD3 1BX",https://www.rightmove.co.uk/properties/154789472,"£2,500,000",Ask agent,0.00,20.00,1,67,16.58,907,1283542,6.48,100,18050.00,9.28,392,13032,1.59,236
98,53.90,0.67,LS 8 1AY,https://www.rightmove.co.uk/properties/151147562,"£1,350,000","29,185 sq ft",46256.64,19.59,833,40,17.96,843,812055,4.10,155,19537.50,10.04,272,18204,2.21,137
99,53.89,488.21,SO32 1AJ,https://www.rightmove.co.uk/properties/161090003,"£5,200,000","21,266,428 sq ft",244.52,20.00,619,22,18.88,688,474325,2.39,290,21050.00,10.82,139,14821,1.80,196
100,53.89,499.30,SO32 1AJ,https://www.rightmove.co.uk/properties/160181954,"£5,700,000","21,749,508 sq ft",262.07,20.00,627,22,18.88,688,474325,2.39,290,21050.00,10.82,139,14821,1.80,196
101,53.89,0.00,"14 High Street
High Barnet
Barnet
Hertfordshire
EN5 5RU",https://www.rightmove.co.uk/properties/160738712,"£1,200,000",Ask agent,0.00,20.00,1,48,17.55,866,1151696,5.81,111,16308.33,8.38,545,17605,2.14,146
102,53.88,0.00,HG1 1JX,https://www.rightmove.co.uk/properties/157473341,POA,Ask agent,0.00,20.00,1,8,19.59,273,39135,0.20,823,15633.33,8.04,585,49791,6.06,18
103,53.88,0.00,KT1 1EY,https://www.rightmove.co.uk/properties/160974650,"£1,000,000",Ask agent,0.00,20.00,1,2,19.90,84,679050,3.43,190,20200.00,10.39,208,1419,0.17,680
104,53.87,0.00,KT12 1DG,https://www.rightmove.co.uk/properties/154196402,"£1,050,000",Ask agent,0.00,20.00,1,46,17.65,860,705322,3.56,184,21045.45,10.82,141,15118,1.84,189
105,53.86,0.00,Cheltenham,https://www.rightmove.co.uk/properties/148832048,"£1,400,000",Ask agent,0.00,20.00,1,20,18.98,641,195090,0.98,488,23400.00,12.03,40,15357,1.87,185
106,53.83,0.00,E17 4RX,https://www.rightmove.co.uk/properties/162742385,"£1,000,000",Ask agent,0.00,20.00,1,160,11.84,957,2421141,12.22,38,15034.78,7.73,633,16800,2.04,157
107,53.78,0.85,LE19 1WP,https://www.rightmove.co.uk/properties/159420464,"£2,000,000","37,070 sq ft",53951.98,19.52,838,31,18.42,785,609815,3.08,212,23366.67,12.01,43,6195,0.75,427
108,53.78,0.00,"77 High Street
Walton On Thames
KT12 1DN",https://www.rightmove.co.uk/properties/160782950,"£1,700,000",Ask agent,0.00,20.00,1,12,19.39,426,228505,1.15,455,23950.00,12.31,34,7582,0.92,378
109,53.77,120.32,CM1 1BT,https://www.rightmove.co.uk/properties/162350456,"£2,600,000","5,241,139 sq ft",496.08,20.00,671,32,18.37,792,522671,2.64,252,21916.67,11.27,98,12373,1.51,251
110,53.77,0.00,GU32 3EW,https://www.rightmove.co.uk/properties/160680677,"£1,500,000",Ask agent,0.00,20.00,1,8,19.59,273,65730,0.33,746,26900.00,13.83,8,137,0.02,942
111,53.72,0.00,"Hertfordshire 
EN5 5SU",https://www.rightmove.co.uk/properties/156872657,"£1,150,000",Ask agent,0.00,20.00,1,23,18.83,703,463080,2.34,302,22820.00,11.73,57,6761,0.82,400
112,53.71,0.00,"Tarvin Sands
Chester
CH3 8JF",https://www.rightmove.co.uk/properties/152570963,"£1,400,000",Ask agent,0.00,20.00,1,23,18.83,703,821520,4.15,154,19971.43,10.27,235,3852,0.47,528
113,53.71,3.57,PR7 2AA,https://www.rightmove.co.uk/properties/137512112,"£1,250,000","155,509 sq ft",8038.12,19.93,731,20,18.98,641,444840,2.24,313,15450.00,7.94,602,37888,4.61,35
114,53.66,0.17,AL5 4SD,https://www.rightmove.co.uk/properties/87109470,"£1,750,000","7,491 sq ft",233613.67,17.91,926,19,19.03,622,499390,2.52,266,24200.00,12.44,30,14389,1.75,204
115,53.65,0.41,AL1 3JB,https://www.rightmove.co.uk/properties/160213205,"£1,600,000","18,057 sq ft",88608.30,19.21,868,32,18.37,792,973286,4.91,134,21266.67,10.93,134,1907,0.23,640
116,53.63,1.29,CM23 3BG,https://www.rightmove.co.uk/properties/157009427,Offers Invited,"56,192-346,738 sq ft",0.00,20.00,1,8,19.59,273,87095,0.44,678,25033.33,12.87,25,5948,0.72,441
117,53.62,0.13,"Bath 
BA1 5BD",https://www.rightmove.co.uk/properties/161920799,"£1,500,000","5,581-8,460 sq ft",268769.04,17.60,938,19,19.03,622,257165,1.30,428,22400.00,11.52,78,34344,4.18,43
117,53.62,0.13,EC4N 6NP,https://www.rightmove.co.uk/properties/161931917,"£1,500,000","5,581-8,460 sq ft",268769.04,17.60,938,19,19.03,622,257165,1.30,428,22400.00,11.52,78,34344,4.18,43
119,53.61,8.70,"10 The Rock
Bury
BL9 0NT",https://www.rightmove.co.uk/properties/142655393,"£14,000,000","378,972 sq ft",36942.04,19.67,825,100,14.90,941,1397235,7.05,90,15916.67,8.18,564,31326,3.81,55
120,53.59,0.35,"34
High Street
Rochester
Kent
ME1 1PT",https://www.rightmove.co.uk/properties/148480505,"£1,800,000","15,220 sq ft",118265.44,18.94,879,19,19.03,622,501200,2.53,264,20520.00,10.55,183,20891,2.54,115
121,53.58,1.38,BA20 2FG,https://www.rightmove.co.uk/properties/159221831,POA,"60,113 sq ft",0.00,20.00,1,6,19.69,211,40995,0.21,815,19200.00,9.87,304,31320,3.81,56
122,53.57,1.55,NR3 1AB,https://www.rightmove.co.uk/properties/138874607,"£1,150,000","67,518 sq ft",17032.50,19.85,781,19,19.03,622,264375,1.33,425,20200.00,10.39,208,24413,2.97,95
123,53.57,0.00,LS22 6LQ,https://www.rightmove.co.uk/properties/156461105,"£1,500,000",Ask agent,0.00,20.00,1,18,19.08,606,607265,3.06,214,22175.00,11.40,88,167,0.02,930
124,53.55,1.88,ME14 5BJ,https://www.rightmove.co.uk/properties/156596708,POA,"81,675 sq ft",0.00,20.00,1,18,19.08,606,291215,1.47,400,25050.00,12.88,24,1013,0.12,736
125,53.55,1.45,TN13 1JR,https://www.rightmove.co.uk/properties/147196781,POA,"63,162 sq ft",0.00,20.00,1,13,19.34,457,500860,2.53,265,20520.00,10.55,183,9313,1.13,324
126,53.55,0.00,TN12 6DS,https://www.rightmove.co.uk/properties/139350998,"£1,000,000",Ask agent,0.00,20.00,1,7,19.64,247,120505,0.61,602,22500.00,11.57,65,14195,1.73,210
127,53.51,0.00,"86/87
Campden Street
London
W8 7EN",https://www.rightmove.co.uk/properties/152082770,"£4,950,000",Ask agent,0.00,20.00,1,33,18.32,800,478235,2.41,281,21100.00,10.85,136,15866,1.93,171
128,53.48,0.00,OX12 8BE,https://www.rightmove.co.uk/properties/158591345,"£5,000,000",Ask agent,0.00,20.00,1,12,19.39,426,665725,3.36,197,20475.00,10.53,190,1651,0.20,654
129,53.45,0.00,"46 Bell Street
Henley-On-Thames
RG9 2BG",https://www.rightmove.co.uk/properties/162699080,"£1,500,000",Ask agent,0.00,20.00,1,19,19.03,622,314665,1.59,382,24700.00,12.70,26,1100,0.13,719
130,53.42,0.00,W1U 8AN,https://www.rightmove.co.uk/properties/147696683,"£7,500,000",Ask agent,0.00,20.00,1,30,18.47,772,478235,2.41,281,20628.57,10.61,171,15866,1.93,171
130,53.42,0.00,EC3V 3ND,https://www.rightmove.co.uk/properties/160073405,"£17,000,000",Ask agent,0.00,20.00,1,30,18.47,772,478235,2.41,281,20628.57,10.61,171,15866,1.93,171
